1N4744        DIODE,ZENER 15V <2W
1N4744A       DIODE,ZENER 15V <2W
1N4745        DIODE,ZENER 16V <2W
1N4745A       DIODE,ZENER 16V <2W
1N4745D       DIODE,ZENER 16V <2W
1N4746        DIODE,ZENER 18V <2W
1N4746A       DIODE,ZENER 18V <2W
1N4746D       DIODE,ZENER 18V <2W
1N4747        DIODE,ZENER 20V <2W
1N4747A       DIODE,ZENER 20V <2W
1N4747D       DIODE,ZENER 20V <2W
1N4748        DIODE,ZENER 22V <2W
1N4748A       DIODE,ZENER 22V <2W
1N4748D       DIODE,ZENER 22V <2W
1N4749        DIODE,ZENER 24V <2W
1N4749A       DIODE,ZENER 24V <2W
1N4749D       DIODE,ZENER 24V <2W
1N4750        DIODE,ZENER 27V <2W
1N4750A       DIODE,ZENER 27V <2W
1N4750D       DIODE,ZENER 27V <2W
1N4751        DIODE,ZENER 30V <2W
1N4751A       DIODE,ZENER 30V <2W
1N4751D       DIODE,ZENER 30V <2W
1N4752        DIODE,ZENER 33V <2W
1N4752A       DIODE,ZENER 33V <2W
1N4752D       DIODE,ZENER 33V <2W
1N4753        DIODE,ZENER 36V <2W
1N4753A       DIODE,ZENER 36V <2W
1N4753D       DIODE,ZENER 36V <2W
1N4754        DIODE,ZENER 39V <2W
1N4754A       DIODE,ZENER 39V <2W
1N4755        DIODE,ZENER 43V <2W
1N4755A       DIODE,ZENER 43V <2W
1N4756        DIODE,ZENER 47V <2W
1N4756A       DIODE,ZENER 47V <2W
1N4757        DIODE,ZENER 51V <2W
1N4757A       DIODE,ZENER 51V <2W
1N4758        DIODE,ZENER 56V <2W
1N4758A       DIODE,ZENER 56V <2W
1N4759        DIODE,ZENER 62V <2W
1N4759A       DIODE,ZENER 62V <2W
1N4760        DIODE,ZENER 68V <2W
1N4760A       DIODE,ZENER 68V <2W
1N4761        DIODE,ZENER 75V <2W
1N4761A       DIODE,ZENER 75V <2W
1N4762        DIODE,ZENER 82V <2W
1N4762A       DIODE,ZENER 82V <2W
1N4763        DIODE,ZENER 91V <2W
1N4763A       DIODE,ZENER 91V <2W
1N4764        DIODE,ZENER 100V <2W
1N4764A       DIODE,ZENER 100V <2W
1N4816        DIODE,SI RECTIFIER <100V <3A
1N4817        DIODE,SI RECTIFIER <200V <3A
1N4818        DIODE,SI RECTIFIER <400V <3A
1N4819        DIODE,SI RECTIFIER <400V <3A
1N4820        DIODE,SI RECTIFIER <600V <.3A
1N4821        DIODE,SI RECTIFIER <600V <.3A
1N4822        DIODE,SI RECTIFIER <800V <3A
1N482B        DIODE,SI SIGNAL/SWITCHING <50V <100MA
